title:اسدي كاف, start timestamp:1701685567.898888, stop timestamp:1701685578.650571, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1378      , version:2.2, 
MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678113,-0.285095,-0.675598,-0.049500,0.942498,-0.313026,-0.071298,-12.176708,-63.679337,80.251945
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678162,-0.285278,-0.675476,-0.049438,0.931266,-0.321817,-0.074716,-12.192370,-63.744736,80.393417
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678169,-0.285583,-0.675354,-0.049255,0.920523,-0.320352,-0.067879,-12.323133,-63.770264,80.504074
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678174,-0.285706,-0.675293,-0.049316,0.928824,-0.333048,-0.072763,-12.290820,-63.526569,80.537003
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678243,-0.285706,-0.675232,-0.049194,0.942010,-0.324747,-0.072763,-12.278405,-63.457245,80.433296
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678304,-0.285706,-0.675171,-0.049194,0.931266,-0.322793,-0.074716,-12.250565,-63.328190,80.389969
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678390,-0.285583,-0.675110,-0.049561,0.927848,-0.316933,-0.075204,-12.258842,-63.462036,80.400970
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678344,-0.285339,-0.675232,-0.049927,0.936149,-0.310585,-0.072274,-12.082957,-63.432499,80.377541
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678450,-0.285034,-0.675232,-0.050232,0.941033,-0.299841,-0.074228,-12.207994,-63.355915,80.423119
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678473,-0.284668,-0.675354,-0.050354,0.937126,-0.313026,-0.067391,-12.137196,-63.320324,80.380806
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678508,-0.284607,-0.675354,-0.050232,0.942986,-0.313026,-0.072274,-12.340142,-63.121624,80.476059
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678618,-0.284790,-0.675171,-0.050171,0.942986,-0.325723,-0.069833,-12.372795,-63.176128,80.378456
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678688,-0.284912,-0.675049,-0.050171,0.933708,-0.330607,-0.070809,-12.368849,-63.158516,80.507278
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678711,-0.285156,-0.674927,-0.050110,0.917104,-0.308631,-0.081553,-12.365297,-63.192665,80.423218
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
